,subject_id,acc_x,acc_y,acc_z,label,floor
267,0,0.24854,0.23022,-0.70361,null_class,null_class
268,0,-0.0083,0.28394,-0.69873,null_class,null_class
269,0,-0.0625,0.65723,-0.96875,null_class,null_class
270,0,0.07275,0.50366,-1.02637,null_class,null_class
271,0,0.0647,0.22046,-0.8772,null_class,null_class
272,0,-0.06909,0.34253,-0.85645,null_class,null_class
273,0,-0.07666,0.34497,-0.75317,null_class,null_class
274,0,-0.03223,0.55811,-1.06982,null_class,null_class
275,0,0.29077,0.7312,-1.27051,null_class,null_class
276,0,0.41479,0.77686,-1.26489,null_class,null_class
277,0,0.20483,0.35938,-1.0481,null_class,null_class
278,0,-0.01147,0.03638,-0.57739,null_class,null_class
279,0,-0.36719,-0.22632,-0.63867,null_class,null_class
280,0,-0.34058,1.17285,-1.15063,null_class,null_class
281,0,-0.43457,0.91724,-0.9043,null_class,null_class
282,0,-0.28613,0.61475,-0.16821,null_class,null_class
283,0,-0.22925,0.90186,-0.41431,null_class,null_class
284,0,-0.52075,0.6731,-0.6106,null_class,null_class
285,0,-0.22485,0.95654,-0.55542,null_class,null_class
286,0,-0.1814,0.77856,-0.68433,null_class,null_class
287,0,0.04419,0.78906,-0.78271,null_class,null_class
288,0,-0.04639,0.8269,-0.84448,null_class,null_class
289,0,-0.21338,0.37134,-0.63037,null_class,null_class
290,0,-0.00049,0.69678,-0.0271,null_class,null_class
291,0,0.32593,1.49268,-0.32715,null_class,null_class
292,0,-0.42456,0.86597,-0.43115,null_class,null_class
293,0,-0.13745,0.96533,0.38452,null_class,null_class
294,0,0.14404,0.99219,0.87598,null_class,null_class
295,0,-0.20044,1.08398,-0.00732,null_class,null_class
296,0,-0.31226,0.90405,0.08691,null_class,null_class
297,0,-0.37256,0.60181,0.71997,null_class,null_class
298,0,-0.66553,1.11475,0.18188,null_class,null_class
299,0,-0.70483,0.63013,0.28271,null_class,null_class
300,0,-0.81079,0.25854,0.35522,null_class,null_class
301,0,-0.99438,0.87671,0.39111,null_class,null_class
302,0,-0.78882,1.0769,0.1167,null_class,null_class
303,0,-0.96143,0.80542,-0.03613,null_class,null_class
304,0,-1.07397,0.55737,-0.13623,null_class,null_class
305,0,-0.93115,0.51831,-0.13477,null_class,null_class
306,0,-0.71362,0.76172,-0.09009,null_class,null_class
307,0,-0.39575,0.91089,-0.17773,null_class,null_class
308,0,-0.4021,0.80713,0.0144,null_class,null_class
309,0,-0.50757,0.72559,0.01294,null_class,null_class
310,0,-0.63989,0.78711,-0.34741,null_class,null_class
311,0,-0.73315,0.97534,-0.16895,null_class,null_class
312,0,-0.49731,0.9375,0.55713,null_class,null_class
313,0,-0.7041,0.82373,0.62793,null_class,null_class
314,0,-1.22485,0.84546,0.24097,null_class,null_class
315,0,-1.40967,0.39063,0.05298,null_class,null_class
316,0,-0.9939,0.96143,0.37329,null_class,null_class
317,0,-1.18823,1.34912,0.2063,null_class,null_class
318,0,-1.1814,1.48804,-0.15625,null_class,null_class
319,0,-0.92529,1.06519,-0.15332,null_class,null_class
320,0,-0.74438,0.61206,-0.30444,null_class,null_class
321,0,-0.63574,0.36572,-0.40771,null_class,null_class
322,0,-0.47046,0.08252,-0.39697,null_class,null_class
323,0,-0.53857,0.18066,-0.73438,null_class,null_class
324,0,-0.70166,1.08057,-1.27881,null_class,null_class
325,0,-0.74951,1.29272,-1.1333,null_class,null_class
326,0,-0.4187,0.78882,-0.71729,null_class,null_class
327,0,-0.20459,0.39453,-0.4104,null_class,null_class
328,0,-0.15796,0.09937,-0.18433,null_class,null_class
329,0,-0.10132,0.20337,-0.16553,null_class,null_class
330,0,-0.29639,1.01904,-0.2583,null_class,null_class
331,0,-0.60986,1.70264,-0.55688,null_class,null_class
332,0,-0.86646,1.39478,-0.61621,null_class,null_class
333,0,-0.63037,0.80298,-0.43555,null_class,null_class
334,0,-0.24487,0.32495,-0.20679,null_class,null_class
335,0,-0.42554,0.24658,-0.03027,null_class,null_class
336,0,-1.18555,0.5686,-0.09448,null_class,null_class
337,0,-1.63623,0.67773,-0.1145,null_class,null_class
338,0,-1.37207,0.91235,-0.35156,null_class,null_class
339,0,-0.70874,1.09302,-0.60034,null_class,null_class
340,0,-0.11572,0.73047,-0.23364,null_class,null_class
341,0,0.00171,0.58472,0.01074,null_class,null_class
342,0,-0.14087,0.4375,0.10669,null_class,null_class
343,0,-0.30737,0.95557,0.09155,null_class,null_class
344,0,-0.4458,1.39771,0.28052,null_class,null_class
345,0,-0.55249,1.23633,0.63232,null_class,null_class
346,0,-0.521,0.82715,0.34082,null_class,null_class
347,0,-0.2251,0.61133,0.32568,null_class,null_class
348,0,0.0166,0.42651,0.34302,null_class,null_class
349,0,-0.03784,0.65088,0.32349,null_class,null_class
350,0,-0.12671,1.01831,0.53027,null_class,null_class
351,0,-0.20166,1.01489,0.34912,null_class,null_class
352,0,-0.4563,1.00049,0.05933,null_class,null_class
353,0,-0.13989,0.84302,0.09424,null_class,null_class
354,0,0.02856,0.67578,0.25732,null_class,null_class
355,0,-0.03857,0.90454,0.01733,null_class,null_class
356,0,-0.05273,1.0083,0.11865,null_class,null_class
357,0,-0.15967,1.22754,0.2002,null_class,null_class
358,0,-0.23804,1.26636,0.56055,null_class,null_class
359,0,-0.37012,0.96753,0.42993,null_class,null_class
360,0,-0.18188,0.72949,0.31567,null_class,null_class
361,0,-0.06128,0.69629,0.35034,null_class,null_class
362,0,-0.24316,0.95752,0.31787,null_class,null_class
363,0,-0.43872,1.21094,0.35278,null_class,null_class
364,0,-0.56201,1.27295,0.70605,null_class,null_class
365,0,-0.61182,1.01929,0.42749,null_class,null_class
366,0,-0.44385,0.78271,0.29395,null_class,null_class
367,0,-0.17383,0.66577,0.22681,null_class,null_class
368,0,-0.10571,0.55859,0.00977,null_class,null_class
369,0,-0.11304,0.88306,0.24463,null_class,null_class
370,0,-0.22485,1.21167,0.26074,null_class,null_class
371,0,-0.25464,1.29102,0.69922,null_class,null_class
372,0,-0.33423,0.99609,0.45801,null_class,null_class
373,0,-0.19751,0.63965,0.16431,null_class,null_class
374,0,0.00342,0.57666,0.27051,null_class,null_class
375,0,-0.01221,0.71899,0.3125,null_class,null_class
376,0,-0.22949,1.18481,0.40039,null_class,null_class
377,0,-0.39868,1.34912,0.46777,null_class,null_class
378,0,-0.4873,1.16895,0.32764,null_class,null_class
379,0,-0.44092,0.94897,0.1394,null_class,null_class
380,0,-0.19531,0.79346,0.1543,null_class,null_class
381,0,-0.11841,0.55347,0.03149,null_class,null_class
382,0,-0.16553,0.47021,0.00195,null_class,null_class
383,0,-0.09106,0.78906,-0.15454,null_class,null_class
384,0,-0.02075,1.12524,-0.19458,null_class,null_class
385,0,-0.07007,1.09399,-0.2583,null_class,null_class
386,0,-0.08179,1.38037,0.16504,null_class,null_class
387,0,-0.30029,1.18286,0.1604,null_class,null_class
388,0,-0.22583,0.67944,-0.08496,null_class,null_class
389,0,0.00269,0.90161,-0.08594,null_class,null_class
390,0,-0.02368,1.01416,-0.12256,null_class,null_class
391,0,-0.24438,1.19556,0.14941,null_class,null_class
392,0,-0.41626,1.37402,0.34424,null_class,null_class
393,0,-0.4751,0.9917,0.11694,null_class,null_class
394,0,-0.14722,0.71436,0.03662,null_class,null_class
395,0,0.03809,0.80884,0.08374,null_class,null_class
396,0,-0.00195,0.83936,-0.08374,null_class,null_class
397,0,-0.04004,1.08057,-0.13452,null_class,null_class
398,0,-0.20386,1.23975,0.06689,null_class,null_class
399,0,-0.40381,1.5647,0.44775,null_class,null_class
400,0,-0.46777,1.29077,0.37451,null_class,null_class
401,0,-0.26172,0.6084,0.18872,null_class,null_class
402,0,-0.07422,0.54272,0.27808,null_class,null_class
403,0,-0.18433,0.72192,0.19897,null_class,null_class
404,0,-0.2998,1.14771,0.31982,null_class,null_class
405,0,-0.39404,1.37378,0.5813,null_class,null_class
406,0,-0.46973,1.04248,0.28247,null_class,null_class
407,0,-0.30493,0.75879,0.08643,null_class,null_class
408,0,-0.04639,0.60425,0.08496,null_class,null_class
409,0,0.04224,0.50537,0.07129,null_class,null_class
410,0,-0.06445,0.97217,0.21948,null_class,null_class
411,0,-0.2793,1.18506,0.15332,null_class,null_class
412,0,-0.20996,1.5271,0.33105,null_class,null_class
413,0,-0.10986,1.45239,0.27881,null_class,null_class
414,0,-0.12305,0.57129,-0.16772,null_class,null_class
415,0,-0.07373,0.28906,-0.21045,null_class,null_class
416,0,-0.37305,0.40308,-0.04639,null_class,null_class
417,0,-1.2959,0.52954,-0.09033,null_class,null_class
